"103306","กรุงเทพมหานคร","คลองเตย","พระโขนงเหนือ","10110"
"103401","กรุงเทพมหานคร","สวนหลวง","สวนหลวง","10250"
"103501","กรุงเทพมหานคร","จอมทอง","บางขุนเทียน","10150"
"103502","กรุงเทพมหานคร","จอมทอง","บางค้อ","10150"
"103503","กรุงเทพมหานคร","จอมทอง","บางมด","10150"
"103504","กรุงเทพมหานคร","จอมทอง","จอมทอง","10150"
"103602","กรุงเทพมหานคร","ดอนเมือง","สีกัน","10210"
"103701","กรุงเทพมหานคร","ราชเทวี","ทุ่งพญาไท","10400"
"103702","กรุงเทพมหานคร","ราชเทวี","ถนนพญาไท","10400"
"103703","กรุงเทพมหานคร","ราชเทวี","ถนนเพชรบุรี","10400"
"103704","กรุงเทพมหานคร","ราชเทวี","มักกะสัน","10400"
"103801","กรุงเทพมหานคร","ลาดพร้าว","ลาดพร้าว","10230"
"103802","กรุงเทพมหานคร","ลาดพร้าว","จรเข้บัว","10230"
"103901","กรุงเทพมหานคร","วัฒนา","คลองเตยเหนือ","10110"
"103902","กรุงเทพมหานคร","วัฒนา","คลองตันเหนือ","10110"
"103903","กรุงเทพมหานคร","วัฒนา","พระโขนงเหนือ","10110"
"104001","กรุงเทพมหานคร","บางแค","บางแค","10160"
"104002","กรุงเทพมหานคร","บางแค","บางแคเหนือ","10160"
"104003","กรุงเทพมหานคร","บางแค","บางไผ่","10160"
"104004","กรุงเทพมหานคร","บางแค","หลักสอง","10160"
"104101","กรุงเทพมหานคร","หลักสี่","ทุ่งสองห้อง","10210"
"104102","กรุงเทพมหานคร","หลักสี่","ตลาดบางเขน","10210"
"104201","กรุงเทพมหานคร","สายไหม","สายไหม","10220"
"104202","กรุงเทพมหานคร","สายไหม","ออเงิน","10220"
"104203","กรุงเทพมหานคร","สายไหม","คลองถนน","10220"
"104301","กรุงเทพมหานคร","คันนายาว","คันนายาว","10230"
"104401","กรุงเทพมหานคร","สะพานสูง","สะพานสูง","10240"
"104501","กรุงเทพมหานคร","วังทองหลาง","วังทองหลาง","10310"
"104601","กรุงเทพมหานคร","คลองสามวา","สามวาตะวันตก","10510"
"104602","กรุงเทพมหานคร","คลองสามวา","สามวาตะวันออก","10510"
"104603","กรุงเทพมหานคร","คลองสามวา","บางชัน","10510"
"104604","กรุงเทพมหานคร","คลองสามวา","ทรายกองดิน","10510"
"104605","กรุงเทพมหานคร","คลองสามวา","ทรายกองดินใต้","10510"
